OBJECTID,DATE,Age_0_to_9,Age_10_to_19,Age_20_to_29,Age_30_to_39,Age_40_to_49,Age_50_to_59,Age_60_to_69,Age_70_to_79,Age_80plus,Age_Unknown
501,08/21/2021 10:00:00 AM,4,6,46,118,300,833,1657,2463,4287,2
502,08/22/2021 10:00:00 AM,4,6,46,118,301,834,1659,2464,4287,2
503,08/23/2021 10:00:00 AM,4,6,46,118,302,834,1663,2464,4286,3
504,08/24/2021 10:00:00 AM,4,6,46,118,304,837,1662,2466,4289,2
505,08/25/2021 10:00:00 AM,4,6,46,118,306,839,1665,2469,4289,3
506,08/26/2021 10:00:00 AM,4,6,47,118,305,839,1664,2468,4288,2
507,08/27/2021 10:00:00 AM,4,6,47,118,306,839,1664,2470,4291,3
508,08/28/2021 10:00:00 AM,4,6,47,119,306,840,1667,2474,4294,3
509,08/29/2021 10:00:00 AM,4,6,48,119,306,842,1672,2477,4295,3
510,08/30/2021 10:00:00 AM,4,6,48,119,308,844,1674,2477,4298,3
511,08/31/2021 10:00:00 AM,4,6,48,119,309,845,1676,2479,4302,3
512,09/01/2021 10:00:00 AM,4,6,48,120,309,846,1678,2482,4305,3
513,09/02/2021 10:00:00 AM,4,6,48,120,310,849,1681,2486,4310,3
514,09/03/2021 10:00:00 AM,4,6,48,120,309,851,1684,2488,4313,4
515,09/04/2021 10:00:00 AM,4,6,48,121,309,854,1684,2488,4319,4
516,09/05/2021 10:00:00 AM,4,6,48,121,309,856,1689,2490,4323,3
517,09/06/2021 10:00:00 AM,4,6,48,122,309,860,1691,2491,4329,3
518,09/07/2021 10:00:00 AM,4,6,48,123,309,860,1691,2495,4331,3
519,09/08/2021 10:00:00 AM,4,6,48,124,309,862,1693,2502,4340,3
520,09/09/2021 10:00:00 AM,4,6,48,124,312,865,1694,2503,4342,2
521,09/10/2021 10:00:00 AM,4,6,48,124,313,867,1697,2507,4347,2
522,09/11/2021 10:00:00 AM,4,6,48,124,315,871,1701,2510,4354,2
523,09/12/2021 10:00:00 AM,4,6,48,125,316,873,1705,2513,4359,2
524,09/13/2021 10:00:00 AM,4,6,48,125,316,880,1704,2516,4363,2
525,09/14/2021 10:00:00 AM,4,6,48,124,319,884,1705,2521,4366,2
526,09/15/2021 10:00:00 AM,4,6,48,125,319,884,1708,2523,4371,2
527,09/16/2021 10:00:00 AM,4,6,48,125,321,886,1715,2525,4379,2
528,09/17/2021 10:00:00 AM,4,6,48,125,321,888,1718,2528,4383,2
